,이름,리뷰 내용
11,원조할아버지손두부,"
          아차산을 멋지게 등반한 후 먹는 두부와 알밤막걸리 한잔 아주 꿀맛,,,한잔이 두잔되고 두잔이 2병이 되는 마성의 두부집,,아차산 신토불이 떡볶이는 너무 많이 먹어서 시시해진 저는 두부 하나 맛있게 먹겠다고 아차산을 등반했습니다,,이건 정말 그레잇 아이디어!후들후들 떨리는 다리로 갔어요,,모두부-6,000원 순두부-4,000원 막걸리-2,500원우선 모두부 순두부 하나씩 시켰어요개인적으로 모두부가 더 맛있었어요! 여기의 킥포인트는 새우젓과 땡초! 새우젓이 독특하게 고추가루 양념이 되서 꼬독꼬독해요 순대국에 넣어먹는 새우젓이랑은 또다름! 저능 모두부에 땡초 올리고 땡초 사이에 새우젓을 조끔씩 넣어서 한입에 와앙 먹었어요! 진짜 대박적,,순식간에 거기서 기영이 따라했잖아요.. 너무 부드럽고 고소하고,,땡초가 매울라하면 두부가 감싸주는데 마지막에 딱 알밤막걸리 한잔,,,정말 최고로 맛있었어요 ㅋㅋㅋㅋ순두부는 부들부들해서 두부보다는 그 콩국물?이 더 맛있더라고요! 뭐가되었던 남녀노소 세대불문한 맛집임에는 틀림없었어요 막걸리도 엄청 다양하게 준비되어 있어서 골라먹는 재미~알밤 다음은 잣막걸리~ 아주 잘 어울리더라고요..모두부랑 잣막걸리 조합 그뤠잇! 꼭 한번 잡숴보세요 ㅠ 깍두기랑 김치는 덜익어서 안먹었는데 새우젓이 진짜 멱살잡고 끌고가요,,넘 맛있어요,,,오랜만에 부담없고 든든하게 맛있는 한끼 먹었습니다! 두부 꼭 드셔보세요 ㅎㅎ 저도 두부 러버 아닌데 맛있었어요! 잣막걸리도 필수 ㅎ
        "
12,원조할아버지손두부,"
          <광진구 투어 中>아차산역아침을 뭘 먹을까 하다가 때마침 일찍부터 영업하는 두부집이 생각나 형 퇴근하는 시간에 맞춰서 오랜만에 방문하기로 했습니다 아침에 제법 쌀쌀했는데 따끈한 두부먹을 생각에 걸어가는 길이 댓바람부터 신났습니다이른 시간인데도 등산복 입은 분들이 삼삼오오 모여 두부에 막걸리를 드시고 계십니다 등산 맛집이라고들 하시는데 정작 한 번도 등산후에 먹은 적이 없습니다예전에 왔을 때에는 두부, 순두부, 막걸리해서 만원의 행복이었는데 가격이 조금씩 올라 똑같이 주문하면 12,500원입니다 바로 만든 두부라 맛이 없을 수가 없습니다 정말 꼬소합니다 두부만 맛을 보고 김치를 올려서 먹고 이 집의 킥인 양념새우젓도 올려서 먹습니다막걸리 한 잔 쭉 들이켜서 속이 차바지면 순두부를 떠서 후루룩 먹습니다 단짠에 이은 온냉조합입니다등산하고 먹으면 얼마나 더 맛있을까 싶지만 선뜻 실행하지는 않습니다조금씩 올랐어도 여전한 가성비와 아주 넉넉한 영업시간, 한결같은 맛이 참 좋습니다재방문 의사 : △
        "
13,원조할아버지손두부,"
          이거 먹으려고 등산 간 사람 나야나. 가고싶다 고인물 플레이스 였는데 드디어 다녀왔다. 과연 소문대로 명불허전의 두부맛집! 모두부는 제법 단단하고 조밀해서 씹는 맛이 있고 국물 자박한 순두부는 꼬수운 맛이 일품이다. 종류 무관 막걸리 한 통에 2500원이라는 저 세상 가성비까지 완벽!! 또 가고싶다!!
        "
14,원조할아버지손두부,"
          어렸을 때 저녁때가 되면 동네에 두부 트럭이 왔었다. 심부름 가서 큰 통에 담긴 따뜻한 두부 한 모를 비닐 봉다리에 담아 오는게 일상이었다. 워낙 두부를 좋아했어서 따로 간장 같은 양념 없이 두부만으로도 맛있게 먹곤 했다.아차산 아래 줄 서서 먹는 유명 두부집이다. 산 타고 두부 먹는 느낌보다는 두부를 먹기 위해 아차산을 오르는 사람이 더 많은 것 같다. 워낙 사람들이 많이 찾는 집이다보니 매번 금방 나온 뜨끈한 두부를 맛 볼 수 있다. 바로 나온 두부는 맛이 없을 수가 없다.하얀 음식으로 테이블을 채웠다. 모두부, 순두부, 콩국수에 막걸리까지 가격도 굉장히 저렴하다. 막걸리가 한 통에 2500원 뿐이 안한다.순두부를 한 숟갈 떠 먹으면 마치 우유같다는 말이 무슨 뜻인지 이해가 된다. 부드럽고 진하다. 양념장 적당히 부어 먹으면 좋다.나는 모두부가 가장 맛있었다. 큼직하게 자른 모두부는 고소한 맛이 감돈다. 특이하게 젓갈이 함께 나오는데 요걸 모두부랑 함께 먹으면 궁합이 참 좋다. 짭짤한게 두부랑 잘 어울린다. 모두부나 순두부나 슴슴하기보다는 이미 간이 꽤나 된 두부라 굳이 다른 양념 곁들이지 않고 그냥 먹는다 해도 맛있다.막걸리 종류도 상당하다. 알아서 골라 마시면 된다. 다양한 종류의 막걸리를 마셔보는 것도 재밌는 경험이다. 아차산을 탔으니 선택한 아차산 막걸리가 가장 맛나다. 맛 자체가 유별난 것은 아닌 것 같다. 다만 계속해서 만들어내는 뜨끈한 새 두부를 저렴한 가격에 즐길 수 있는 점 그리고 등산 후에 막걸리 한잔으로 목 축이기에 이만한 곳이 없다는 점이 이 집을 유명하게 만든 것이 아닐까 싶다. 
        "
15,원조할아버지손두부,"
          두부랑 콩국수가 너무너무 맛있게 느꺄지다니.. 이제 아기새 아니고 어른새...산에서 내려와서 어디론가 걷다보면 두부골목이 나오더라구요, 은근히 비슷한 가게가 많아서 주의하셔야 할 것 같아요! 모두부, 콩국수, 순두부, 막걸리 하나씩 골고루 시켜먹었습니다!!제일 처음에 나온 모두부! 갓 나온 두부는 원래 냄새마저 좋은 것이었군요ㅜ 식감은 적당히 단단한 편, 간장 올려서 먹으면 따끈하고 고소해요! +  뱃속에 차곡차곡 쌓이는 기분좋은 포만감!ㅂ콩국수는 제가 기존에 좋아하던 콩국수집들보단 조금 묽은 맛+ 반씩 나눠먹어서 딱 애피타이저 느낌이었어요! 3가지 음식 중 가장 덜 콩느낌 나는 음식이었어요그리고 순두부...! 사장님이 주문을 까먹으셔서 안 먹고 나올 뻔했는데 안먹었음 큰일 날뻔ㅠㅠㅠ 순두부랑 연두부랑 중간 식감? 근데 또 콩 냄새 너무 고소하니 좋고.. 고기도 아닌데 왤케 맛있어요...? 다음엔 모두부 패스하고 순두부 하나 혼자 다 먹을래요...!메뉴 3개 다먹으려면 등산 필수, 적어도 저녁 굶고 가시는거 추천합니다! 그리고 막걸리랑 두부랑 너무 잘 어울리더라구요? 밥대신 탄수화물로 먹기 좋을 것 같아요!
        "
16,원조할아버지손두부,"
          두부 먹으러 등산하는 사람이 어딨냐? 여기 있습니다...Oops mountain 기슭에 있는 콩요리 전문점. 아차산-용마산 타고 나서 점심 먹으러 방문했는데, 주중이라 그런지 나름 한산하더라고요.--------♤ 모두부 (6,000₩)이것만 먹었을 뿐인데도 포만감이 장난 아니더라고요. 등산하느라 배고플 만도 한데... 구내식당이나 술집 같은 데서 두부김치 먹으면 나오는 두부 밀도의 1.5배는 되는 느낌? 6,000원이라곤 생각되지 않는 양과 밀도입니다. 새우젓이랑 같이 먹으면 꿀맛.♤ 콩국수 (6,000₩)1인1국수 하려다가 사장님께서 만류하셔서 일단 한 그릇만 시켰는데, 왜 말리셨는지 알 만한 푸짐함입니다. 콩국수는 처음 먹을 땐 간이 하나도 안 되어 있어서 살짝 당황했어요. 소금을 좀 많이 쳐야 됩니다. 국물 스타일이 전형적인 콩물보다는 비지 마시는 것처럼 걸쭉한 점이 독특했습니다. 엄청 맛있는 정도까진 아니었지만 가성비 굿.♤ 순두부 (4,000₩)콩국수랑 모두부만 먹었는데도 배불러서 그냥 갈까 하다가, 그래도 이왕 온 거 먹어봐야 할 것 같아서 시켰습니다. 안 시켰으면 후회할 뻔... 저는 순두부가 제일 맛있었어요. 몽글몽글한 순두부가 아니라 연두부처럼 부드럽고 매끄러운 스타일인데, 향은 엄청 고소해서 깜짝 놀랐습니다. 연두부의 식감과 순두부의 풍미를 둘다 잡을 수 있다니! 다른 건 안 먹더라도 순두부는 꼭 드셔보세요.♤ 막걸리 (2,500₩)끝까지 놀라움의 연속이였던 이 곳의 가성비. 여기 분명 마트가 아니고 식당인데...--------배터지게 먹고 막걸리까지 마셨는데 인당 9천원 나오는 매직. 왜 등산하고 두부를 먹으러 가는지 의심했던 제 자신을 반성합니다...★★★★☆
        "
17,원조할아버지손두부,"
          한달동안 밥으로 두부유부만 먹어도 질리지않았던(식단관리 아님.. 그냥 맛있어서 먹었다는게 함정) 두부러버에겐 정말 행복했던 곳!모두부 보다는 순두부가 특색있고 맛있다젓갈에선 멸치맛이 강하게 올라온다이가격에 이정도 맛이라니 집만 가까웠어도 ㅠㅠ무료로 제공해주시는 비지를 가져다 집에서도 요리해 맛있게 먹었다다만 청결과 서비스는 기대하기 조금 어려운 곳
        "
18,원조할아버지손두부,"
          두부가 메인요리인 두부 맛집. 두부는 그 맛이 자극적인 요소가 없이 담백하므로 맛이 좋아도 요리에서 조연이기 일쑤다. 심지어 두부찌개에서도. 아차산 등산로 초입의 이 유명한 두부집은 두부가 주연이고 메인이다. 순두부와 모두부가 훌륭한 하나의 독립된 요리다. 순두부는 일반 순두부찌개 처럼 뚝배기에 담겨 나오는 몽글한 치즈 커드 같은 것이 아니라 한 냄비에 가득 담겨져 나온다. 뜨거울 때 순두부만 한 수저 떠 넣으면 고소하고 따뜻한 입안의 감촉. 순순하게 맛있다. 다음엔 이집의 명물 컨디먼츠 새우젓을 조금 얹어 한 수저 맛본다. 가다랑어포, 멸치 등이 함께 들어있는 것 같다. 매력있어서 자꾸 손이 간다. 이 젓갈 1000원에 따로 판매할 정도로 인기다. 순두부가 이처럼 맛있다니. 아무리 많이 먹어도 질리거나 체중 걱정 없을 것 같다. 일단 순두부 맛을 봤으면 본격적으로 순두부를 즐길 준비. 큰 냉면기 대접에 흰밥 한 공기를 쏟아 넣고 무생채나물과 순두부를 듬뿍 얹어 쓱쓱 비벼 먹는다. 아삭한 무나물과 구수하고 부드러운 프로마쥬 블랑 같은 순두부를 비비면 등산의 피로와 허기가 싹 날아간다. 순두부무우채비빔밥. 모두부는 조직이 고르고 치밀하다. 잘 누른 두부다. 성근 두부가 아니다. 이건 파를 듬뿍 넣은 양념장과 짝을 이룬다. 모두부는 한 입 크기로 잘라져있다. 양념장 올린 두부 한 쪽 입에 넣으면 막걸리나 와인은 바야흐로 이 때 등장해야 한다. 그래도 두부가 주인공이다. 모두부를 게눈 감추듯 하면, 콩물에 소면 굵기의 국수를 말아내는 콩국수가 마지막 입가심이다. 한그릇 시켜 둘이 나누면 고소한 두부와 콩요리 코스의 마무리. 굵은 소금을 살짝 흩뿌려도 좋다. 콩국수에는 잘게 썬 김치와 적당히 익은 깍두기가 동행한다. 이렇게 먹으면 16,000원 나온다. 게다가 To go 두부 한 모는 4,000원 콩물이 4,000원이다. 콩물을 사서 집에 가져가면 점수 좀 딴다. 이 집 순두부와 모두부의 맛이 60년 지기와 아차산 등산에서 흘린 땀만큼 진하고 고소했다. 이 할아버지집 두부를 먹기 위해 아차산에 오른다 해도 과언이 아니다. 식당 입구에 비지가 놓여져 있는데, 봉지에 담아갈 수 있는데 계산 할 때 요청하면 된다. 집에 와서 맛난 비지찌개 만들어 먹을 수 있다. 
        "
19,원조할아버지손두부,"
                              왕십리/성동
                              -
                              이탈리안
                            "
20,원조할아버지손두부,"
                              왕십리/성동
                              -
                              이탈리안
                            "
21,원조할아버지손두부,"
                              시청/남대문
                              -
                              이자카야 / 오뎅 / 꼬치
                            "
22,원조할아버지손두부,"
                              이태원/한남동
                              -
                              정통 중식 / 일반 중식
                            "
23,원조할아버지손두부,"""망고플레이트가 선정한 2021년에 꼭 가봐야 할 강북 맛집"""
24,원조할아버지손두부,"""망고플레이트가 선정한 2022년에 꼭 가봐야 할 강북 인기 맛집"""
25,원조할아버지손두부,"""망고플레이트가 선정한 2021년에 꼭 가봐야 할 한식 맛집"""
26,원조할아버지손두부,"""망고플레이트가 선정한 2022년에 꼭 가봐야 할 서울 인기 맛집"""
27,원조할아버지손두부,"""원푸드 다이어트를 한다면 난 두부!"""
28,원조할아버지손두부,"""낮에 먹으니까 더 맛있다!"""
29,원조할아버지손두부,"""근육돼지로 벌크업! """
30,원조할아버지손두부,"""먹으려고 등산하는 자들 모여라!"""
31,원조할아버지손두부,"
백종원의3대천왕
                    
술집추천
                    
순두부
                    
2020망고플레이트인기맛집
                    
콩국수
                    
채식메뉴
                    
"
32,원조할아버지손두부,대한민국 먹슐랭 가이드!
33,원조할아버지손두부,망고플레이트 앱 바로가기
34,원조할아버지손두부,"

"
35,원조할아버지손두부,망고플레이트 최신 버전 앱에서사용할 수 있는 기능입니다.
36,원조할아버지손두부,"
      망고플레이트 최신 버전 앱에서 사용할 수 있는 기능입니다.
    "
37,원조할아버지손두부,
38,원조할아버지손두부,리뷰를 삭제하시겠습니까?
39,원조할아버지손두부,"Eat, Share, Be Happy."
40,원조할아버지손두부,"

        망고플레이트 페이스북 계정으로 바로가기
      

        망고플레이트 인스타그램 계정으로 바로가기
      
"
41,원조할아버지손두부,"

          한국어
        

          English
        

          简体中文
        
"
42,원조할아버지손두부,"
          
          ㈜ 여기어때컴퍼니서울특별시 강남구 봉은사로 479, 479타워 11층대표이사: 정명훈사업자 등록번호: 742-86-00224 [사업자정보확인]통신판매업 신고번호: 2017-서울강남-01779고객센터: 02-565-5988
© 2021 MangoPlate Co., Ltd. All rights reserved.
"
43,원조할아버지손두부,최근 검색어가 없습니다.
44,원조할아버지손두부,"
          내가 둘러 본 식당이 이 곳에 순서대로 기록됩니다.
        "
45,원조할아버지손두부,격하게 가고싶다..
46,원조할아버지손두부,"
          식당의 ‘별’ 아이콘을 누르면 가고싶은 곳을 쉽게 저장할 수 있습니다.
        "
47,원조할아버지손두부,탈퇴한 계정은 복구가 불가능합니다.탈퇴 하시겠습니까?
48,원조할아버지손두부,
49,원조할아버지손두부,"
        전체 동의
      "
50,원조할아버지손두부,"
      망고플레이트 서비스 이용을 위해 다음의 약관에 동의해 주세요.
    "
51,원조할아버지손두부,로그인
52,원조할아버지손두부,"
       로그인 하면 가고싶은 식당을 저장할 수 있어요
      "
53,원조할아버지손두부,"

페이스북으로 계속하기


카카오톡으로 계속하기


Apple로 계속하기

"
54,원조할아버지손두부,"
최은창

"
55,원조할아버지손두부,맛있다
56,원조할아버지손두부,"
            translation missing: ko.app_download_layer.description
          "
57,원조할아버지손두부,* IOS 버전은 준비 중입니다.
58,원조할아버지손두부,* Android 버전은 준비 중입니다.
59,오코노미야키식당하나,"
                    사진 더보기
                    
"
60,오코노미야키식당하나,"
                    사진 더보기
                    
"
61,오코노미야키식당하나,"
                    사진 더보기
                    
"
62,오코노미야키식당하나,"
                    사진 더보기
                    
"
63,오코노미야키식당하나,"
                    사진 더보기
                    
"
64,오코노미야키식당하나,
65,오코노미야키식당하나,가고싶다
66,오코노미야키식당하나,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
67,오코노미야키식당하나,"
                업데이트
                : 2021. 12. 23
              "
68,오코노미야키식당하나,"
          <광장동 투어 下>어린이대공원역과 건대입구역의 중간에서 중랑천 쪽으로춘향미엔에서 든든하게 먹고 형 집에서 좀 쉬다가 내일 출근도 있고 돌아가야 할 시간이 되어 가기전에 무엇을 먹을꼬 하다가 콜린님의 리뷰로 알게 된 시홍쓰가 생각이 났는데 뭔가 점심에 먹은 메뉴와 결이 겹치는 것 같아 갑자기 또 땡긴 하나를 방문했습니다브레이크타임 끝나는 시간에 못 맞추고 저녁시간 언저리 조금 이르게 갔더니 앞에 두 팀이 있어서 대기했습니다 세 번째 인데도 메뉴 특성상 자리가 빨리 빠지지않아 꽤 오래 기다려야 했습니다오늘은 아쉽지만 집에 돌아가야하므로 삿포로 생맥주는 시키지못했고 기본 야끼소바를 주문했습니다어제 혼자 온 놈이 오늘 또 오니 사장님께서 알아봐주시고 사이다를 서비스로 주셨습니다 감사히 잘 마셨습니다 사장님가쓰오부시 듬북 올라간 딱 원하던 맛의 전형적인 맛있는 야끼소바입니다면 식감 좋고 양배추도 샤키샤키 고기는 시코시코 아주 좋습니다마요네즈도 뿌려서 먹으면 어 오사카였나 잠깐 착각에 빠집니다이제 또 언제 다시 오게될지 모르지만 그때까지 안녕히 재방문 의사 : △
        "
69,오코노미야키식당하나,"
          <광진구 투어 中>어린이대공원역과 건대입구역의 중간에서 중랑천 쪽으로1-2년 전에 몇 번 방문했었는데 여전히 망고플레이트 광진구 부문 1위를 지키고 있는 식당입니다워낙 일본음식을 좋아하고 형도 좋아하는 집이라고 추천을 해줘서 방문했었는데 꽤 마음에 들어 가끔 생각나고 먹으러가는 집입니다여기도 대기가 길고 회전율이 낮은 편이라 시간을 잘 생각해서 가야합니다 얼추 쉬는 시간 끝나는 즈음에 맞춰서 도착했습니다깔끔한 내부에 사장님과 직원분들이 (아마) 다 일본분들이셔서 더 분위기가 납니다오늘은 소바메시에 김치빼고로 주문했습니다 삿포로 생맥주도 함께 입니다 사장님께서 대장 불판에서 조리를 해주시고 개인 불판으로 옮겨주십니다면과 쌀이 함께 씹히는 그 식감 이것이 바로 j-라죽입니다 면탄수와 쌀탄수의 연합공격에 야채와 소스가 곁들여지니 훌륭한 밥안주가 됩니다조금 먹다가 마요네즈가 합세하면 저도 마냥 지고있을 수만은 없어서 삿포로 생맥주 쭉 들이킵니다 이 집은 맥주도 맛있습니다 아주 시원하고 부드러운 목넘김이 소바메시의 총공세를 좀 잠재워줍니다언제나 기분좋게 먹는 집입니다 나오니까 대기줄이 꽤 깁니다 대기 오래하지 마시고 시간 잘 맞춰서 가시면 맛있게 드실 것 같습니다재방문 의사 : △
        "
70,오코노미야키식당하나,"
          걍 존나 별론데 별점 왜높지
        "
71,오코노미야키식당하나,"
          아주 작은 오사카
        "
72,오코노미야키식당하나,"
          오코노미야끼가 이렇게 맛있는 음식이었다니~~~~~!?시부야 어느 음식점에서 먹었던 야끼소바와 오코노미야끼가 최고라고 생각했는데 여기... 거기보다 더 맛있는 것 같다일단 테이블마다 철판이 있어서 오래 따뜻하게 먹을 수 있는게 넘좋구 생맥주도 쫀맛탱 (따봉)(따봉)오코노미야끼에 밀가루만 가득한게 아니라 재료가 가득 들어있어서 (치즈추가하면 더맛있음 ㅠ) 좋다다만 기름 냄새가 머리나 옷에 넘 오래남음.... ㅜ
        "
73,오코노미야키식당하나,"
          또 갔다 이번엔 2시간 웨이팅... 극악이다... 하지만 맛은 서울에서 여기를 따라올 오코노미야끼집은 없을듯하다. 진짜 어어어어어어어엄청 맛있음 강추!
        "
74,오코노미야키식당하나,"
          오코노미야끼 맛집으로 찾아 갔지만오코노미야끼는 무난무난 했다면철판 볶음면이 ㄹㅇ 찐 맛이다.담에 가면 면만 먹을듯
        "
75,오코노미야키식당하나,"
          ⚜️일본인쉐프님이 운영하는 집- ✨ 오픈 10분전에 가는 거 추천,오코노미야끼 파추가 추천- 주문메뉴 : 야키소바,돼지오징어타마-야키소바한국인입맛엔 약간짜다고 느낄 수 있는데저는 좋았어요!면의익힘정도도 마음에 들었고 양배추와 부재료의 양도 좋았습니다 마요네즈를 조금 더 뿌려먹는 거 추천!야키소바 좋았어요 ㅎㅎ-오코노미야끼는 재료보다 계란과 반죽의 비중이 조금 큰 듯 싶었습니다 양배추나 파같은 속재료가 많이 들어가서 맛이 좀 더 풍부했으면 완벽했을텐데 아쉬웠습니다ㅠㅠ 그래서 파 추가 하는 거 추천해요!​그래도 가성비 굉장히 좋은 곳이었습니다!
        "
76,오코노미야키식당하나,"
          야키소바, 돼지오징어타마 오코노미야키. (별도의 토핑은 없음)서울 동쪽부근은 강남쪽 제외하고는 별로 올일이 없는데, 몇년만에 와본 곳에서 크나큰 만족감을 느끼다.사실 원래 가려고 했던 곳에서 우연찮게 망고플레이트 목록을 보다가 방문한 곳으로, 운좋게 바로 오픈시간이어서 5분정도 기다리고 바로 입장. 평소에 웨이팅이 많아 보이는데, 가게 앞에 웨이팅 팀에 대한 대기 예상 시간 까지 적혀있다.맛은 단연코 '건대입구' 검색했을때 1위 나오는 것에 준하는 맛. 너무 맛있어서 제가 왠만해선 낮술 안하는데, 삿포로 생맥주까지 시키고 난리도 아니었습니다. 생맥주마저도 맛있어서 역시 두배로 기쁜 곳. 혼자서 밀키트를 사서 만들어먹어보기도 하고, 홍대 몇몇 곳들을 방문해본적은 있으나 이곳이 먹어본 곳들중에서는 가장 원탑이라고 생각한다. 솔직히 야키소바나 오코노미야키나 같은 소스를 사용하기때문에 거기서 거기인 맛이 나올줄 알았는데, 왠열 면과 두툼반죽의 차이가 각각 강점으로 차별화되어 다가왔었다. 개인적으로 소스는 더 추가 안해서 먹었었는데, 마요네즈는 중간중간 뿌려가면서 먹으면 좀더 부드럽고 맛있었었다.여기는 정말 추천을 안해드릴수가 없다. 너무너무 짱이다. 그리고 가신김에 생맥주도 한잔 하세요. 한 잔 시켜서 그걸 작은 잔으로 두개 나눈 것도 가능하니까요, 희희!
        "
77,오코노미야키식당하나,"
          긋긋
        "
78,오코노미야키식당하나,"
          첫 한 입이 강력한 가게. 웨이팅이 너무 힘들지만 그 첫 입의 감동을 다시 느끼고 싶어 브레이크타임이 끝나기 훨씬 전에 가서 웨이팅 적게 하고 식사하러 갈 것 같은 가게.따뜻한 오꼬노미야끼를 딱 처음 먹었을 때 바삭함과 부드러움이 동시에 느껴지는 마법이 일어났다. 그런데 그 이후부터 그 감동이 매우 급락하는게 함정...ㅎ 한두입 정도 더 먹으면 무난하게 괜찮은 수준으로 급락한다. 치즈 토핑은 그 맛이 제대로 안느껴지고 식감에서도 큰 차이를 주지 않았다. 굳이 안넣어도 될 것 같다.+비오는 날이었는데도 웨이팅이 미친듯이 많았다. 2시간정도 기다렸다.++하이볼이 내가 알던 하이볼이 아니었다. 원래 이렇게 알코올향과 맛이 쎄게 나는 건가요...?
        "
79,오코노미야키식당하나,"
          찐 일본의 느낌을 느끼려면 여기를 가셔도 좋습니다.가게 직원분들이 다 일본분이시고 사장님도 일본분이셔서 믿고 먹을수있습니다.다만 아쉬운점은 회전율이 좋지않습니다. 그래서 늦게가면 오래기다리셔야해요.
        "
80,오코노미야키식당하나,"
          줄을 한시간 넘게 섰는데 생각보다 평범...오코니미야키는 좋아요
        "
81,오코노미야키식당하나,"
          얼마전 첫 방문때 굉장히 맛있게 먹었던 만족감에 20여일만에 다시 찾은 오코노미야끼식당 하나.브레이크타임 끝나는시간 조금 지나서가니 다행히 긴 웨이팅을 하지않았다.그 사이 바뀐점이 보인다.수기로 작성하던 웨이팅 명부를 없애고전번 등록후 카톡으로 실시간 알림을 해주는 시스템도입.(방긴다.이런 최첨단^^)식사시간에 혼밥자의 예의를 갖추기위해2인분 몫을 주문했다.야끼소바,돼지김치,우스지야끼소바는 오늘도 역시 엄지척!숙주의 식감이 아삭한 돼지김치.오뎅국물 생각나게하는 우스지.모두 맛나게 먹었다.재방문도 <맛있다>다!먼저 먹고 일어서는 옆테이블 정리하는걸 얼핏보니 바구니에 든 스프레이통으로 뭔가를 칙칙 뿌리며 철판을 닦는다.순간..홀릭 예나파님의 리뷰에 종종 등장하는세정제스프레이가 떠올라서 기겁했다.서...설마..세정액으로 철판을 닦는다고???계산하면서 살짝 물어보니 물 스프레이 란다:)다소 깐깐해보이는 요리담당 일본인사장님과 서빙하는 여직원들이 굉장히 친절하다.대기자들의 빠른 회전을위해식사중 추가주문은 안 받는 곳이니첨 주문때 넉넉히 시키자.오늘도 맛있게 먹고 배부름 팡팡♡
"
82,오코노미야키식당하나,"
          추억의 하나를 건대에서 만날줄이야!벌써 몇년 전, 신촌에 하나가 없어진다는 말에 일부러 찾아갔던 기억이 있다. 아주 자주 가진 않았지만 그래도 뭔가 맥주한잔 하고 싶을 때 부담없이 가서 맛있게 먹고 마시고 나왔었는데 하나가 없어진다니.. 하고그 이후 신촌에 하나가 다시 생긴 것 같은데 이상하게 지인들 평으로는 예전 하나에서 먹던 맛이 아니란다.그리고 얼마전, 군자 쪽에서 밥을 먹고 2차로 갈만한 곳 없나 하다가 이 집이 상위권에 있어서 가볼까 했는데 매장 앞에 도착한 순간 '엇? 여긴?!' 별 생각 없이 갔는데 익숙한 느낌이 난다. 같이 간 지인도 구 하나를 즐겨갔었는데 일하는 분들도 같은 것 같다며!대기 50분인데 한시간 15분정도 기다리고 먹었는데 옛날 그 맛이다 ㅎㅎ 근데 뭔가 간이 좀 더 강해진; 추억이 있는 곳이어서 반가웠고, 근처 가게되면 다시 가볼 의사 있습니다ㅎㅎ
        "
83,오코노미야키식당하나,"
                              왕십리/성동
                              -
                              이탈리안
                            "
84,오코노미야키식당하나,"
                              왕십리/성동
                              -
                              이탈리안
                            "
85,오코노미야키식당하나,"
                              시청/남대문
                              -
                              이자카야 / 오뎅 / 꼬치
                            "
86,오코노미야키식당하나,"
                              이태원/한남동
                              -
                              정통 중식 / 일반 중식
                            "
87,오코노미야키식당하나,"""망고플레이트가 선정한 2021년에 꼭 가봐야 할 강북 맛집"""
88,오코노미야키식당하나,"""망고플레이트가 선정한 2022년에 꼭 가봐야 할 서울 인기 맛집"""
89,오코노미야키식당하나,"""10월 둘째 주 이주의 홀릭 리뷰를 확인해보세요!"""
90,오코노미야키식당하나,"""망고플레이트가 선정한 2022년에 꼭 가봐야 할 강북 인기 맛집"""
91,오코노미야키식당하나,"
2020망고플레이트인기맛집
                    
"
92,오코노미야키식당하나,대한민국 먹슐랭 가이드!
93,오코노미야키식당하나,망고플레이트 앱 바로가기
94,오코노미야키식당하나,"

"
95,오코노미야키식당하나,망고플레이트 최신 버전 앱에서사용할 수 있는 기능입니다.
96,오코노미야키식당하나,"
      망고플레이트 최신 버전 앱에서 사용할 수 있는 기능입니다.
    "
97,오코노미야키식당하나,
